Código;Ação;Tipo;Qtde. Teórica;Part. (%)
ALOS3;ALLOS;ON NM;478558715.0;0.537
ABEV3;AMBEV S/A;ON;4273841357.0;2.756
ASAI3;ASSAI;ON NM;1338623499.0;0.459
AURE3;AUREN;ON NM;317799925.0;0.143
AXIA3;AXIA ENERGIA;ON NM;2156759550.0;4.765
AZZA3;AZZAS 2154;ON NM;109571260.0;0.078
B3SA3;B3;ON NM;4997059816.0;3.112
BBSE3;BBSEGURIDADE;ON ED NM;616248544.0;0.985
BBDC3;BRADESCO;ON EJS N1;1548223583.0;0.977
BBDC4;BRADESCO;PN EJS N1;5392761254.0;3.888
BRAP4;BRADESPAR;PN N1;250914708.0;0.223
BBAS3;BRASIL;ON NM;2842496541.0;2.375
BRKM5;BRASKEM;PNA N1;265709734.0;0.066
BRAV3;BRAVA;ON NM;346772300.0;0.264
BPAC11;BTGP BANCO;UNT N2;1194624560.0;2.682
CXSE3;CAIXA SEGURI;ON ED NM;600000000.0;0.483
CEAB3;CEA MODAS;ON NM;204964309.0;0.078
CMIG4;CEMIG;PN N1;1904057894.0;0.866
COGN3;COGNA ON;ON ATZ NM;1915914094.0;0.177
CSMG3;COPASA;ON NM;359581776.0;0.928
CPLE3;COPEL;ON NM;2969406694.0;1.814
CSAN3;COSAN;ON NM;2242671999.0;0.343
CPFE3;CPFL ENERGIA;ON NM;187732538.0;0.35
CMIN3;CSNMINERACAO;ON N2;1646519336.0;0.374
CURY3;CURY S/A;ON NM;160988231.0;0.21
CYRE3;CYRELA REALT;ON NM;281609283.0;0.254
DIRR3;DIRECIONAL;ON NM;327091595.0;0.158
EMBJ3;EMBRAER;ON NM;711833141.0;2.743
ENGI11;ENERGISA;UNT N2;325503046.0;0.636
ENEV3;ENEVA;ON NM;1913352180.0;2.086
EGIE3;ENGIE BRASIL;ON NM;443065303.0;0.549
EQTL3;EQUATORIAL;ON NM;1247728993.0;1.937
FLRY3;FLEURY;ON NM;447150822.0;0.353
GGBR4;GERDAU;PN N1;1258208269.0;1.313
GOAU4;GERDAU MET;PN N1;830837767.0;0.381
HAPV3;HAPVIDA;ON NM;271662290.0;0.122
HYPE3;HYPERA;ON NM;321083946.0;0.289
IGTI11;IGUATEMI S.A;UNT N1;205800982.0;0.208
ISAE4;ISA ENERGIA;PN N1;460013216.0;0.503
ITSA4;ITAUSA;PN N1;5970738360.0;3.285
ITUB4;ITAUUNIBANCO;PN EJ N1;5050269111.0;8.572
KLBN11;KLABIN S/A;UNT N2;804572623.0;0.604
RENT3;LOCALIZA;ON NM;978479038.0;1.541
LREN3;LOJAS RENNER;ON NM;982593716.0;0.507
MGLU3;MAGAZ LUIZA;ON NM;373155063.0;0.068
POMO4;MARCOPOLO;PN N2;728266241.0;0.137
MBRF3;MARFRIG;ON ATZ NM;761175338.0;0.509
BEEF3;MINERVA;ON NM;454804863.0;0.066
MOTV3;MOTIVA SA;ON NM;1002196725.0;0.605
MRVE3;MRV;ON NM;374681353.0;0.07
MULT3;MULTIPLAN;ON N2;320022221.0;0.37
NATU3;NATURA;ON NM;838359453.0;0.289
PETR3;PETROBRAS;ON N2;2237877167.0;4.259
PETR4;PETROBRAS;PN N2;4410960450.0;7.509
RECV3;PETRORECSA;ON NM;274624898.0;0.117
PSSA3;PORTO SEGURO;ON NM;178825403.0;0.375
PRIO3;PRIO;ON NM;757265605.0;1.812
RADL3;RAIADROGASIL;ON NM;1313915830.0;1.107
RDOR3;REDE D OR;ON NM;1091469308.0;1.542
RAIL3;RUMO S.A.;ON NM;1221155293.0;0.691
SBSP3;SABESP;ON NM;2870627990.0;3.215
SANB11;SANTANDER BR;UNT;360347199.0;0.439
CSNA3;SID NACIONAL;ON;727975012.0;0.139
SLCE3;SLC AGRICOLA;ON NM;220403658.0;0.121
SMFT3;SMART FIT;ON NM;556651316.0;0.421
SUZB3;SUZANO S.A.;ON NM;612918471.0;1.065
TAEE11;TAESA;UNT N2;218568234.0;0.357
VIVT3;TELEF BRASIL;ON;707125712.0;0.901
TIMS3;TIM;ON NM;777451080.0;0.607
TOTS3;TOTVS;ON NM;533997411.0;0.716
UGPA3;ULTRAPAR;ON NM;1067870496.0;1.391
USIM5;USIMINAS;PNA N1;518256757.0;0.154
VALE3;VALE;ON NM;3535764048.0;11.041
VAMO3;VAMOS;ON NM;448052066.0;0.057
VBBR3;VIBRA;ON NM;1192004780.0;1.699
VIVA3;VIVARA S.A.;ON NM;123698325.0;0.112
WEGE3;WEG;ON NM;1485954732.0;2.978
YDUQ3;YDUQS PART;ON NM;261365845.0;0.087
