,SBSP3,BBDC3,BRAP4,VALE3,GGBR4,ISAE4,CSNA3,CMIG4,EMBJ3,CPLE3,USIM5,ITSA4,AXIA3,VIVT3,WEGE3,POMO4,PETR4,PETR3
SBSP3,1.0,0.80319,0.72713,0.65632,0.13642,0.08297,0.46319,0.04942,0.43677,0.78307,0.10633,0.83545,0.54121,0.83342,0.82527,0.71917,0.60143,0.54534
BBDC3,0.80319,1.0,0.6757,0.63809,0.05366,0.03535,0.46521,-0.00383,0.45802,0.67939,0.16285,0.85347,0.49367,0.79267,0.80813,0.68273,0.54699,0.49004
BRAP4,0.72713,0.6757,1.0,0.89919,0.30475,0.03852,0.6534,0.00933,0.331,0.77707,0.33117,0.7207,0.63812,0.70366,0.71329,0.60964,0.76349,0.70829
VALE3,0.65632,0.63809,0.89919,1.0,0.32949,-0.00583,0.68301,-0.01995,0.32311,0.73926,0.3619,0.70219,0.60493,0.66588,0.71289,0.61562,0.77716,0.72862
GGBR4,0.13642,0.05366,0.30475,0.32949,1.0,0.22647,0.24869,0.25688,-0.06872,0.25176,0.02926,0.11581,0.28547,0.08609,0.12403,0.08933,0.36044,0.34623
ISAE4,0.08297,0.03535,0.03852,-0.00583,0.22647,1.0,-0.15973,0.7899,-0.03774,0.06949,-0.33102,0.11394,0.15695,0.11419,0.08859,-0.06386,-0.04134,-0.07275
CSNA3,0.46319,0.46521,0.6534,0.68301,0.24869,-0.15973,1.0,-0.185,0.15202,0.54834,0.52961,0.49566,0.50383,0.45642,0.49389,0.41001,0.68786,0.67064
CMIG4,0.04942,-0.00383,0.00933,-0.01995,0.25688,0.7899,-0.185,1.0,-0.02132,0.04726,-0.31442,0.06036,0.07875,0.08365,0.04025,0.00203,-0.0191,-0.06346
EMBJ3,0.43677,0.45802,0.331,0.32311,-0.06872,-0.03774,0.15202,-0.02132,1.0,0.34372,0.00416,0.49117,0.1983,0.48835,0.48646,0.47213,0.30748,0.28743
CPLE3,0.78307,0.67939,0.77707,0.73926,0.25176,0.06949,0.54834,0.04726,0.34372,1.0,0.1888,0.76284,0.61274,0.73014,0.73755,0.63109,0.70356,0.64777
USIM5,0.10633,0.16285,0.33117,0.3619,0.02926,-0.33102,0.52961,-0.31442,0.00416,0.1888,1.0,0.1475,0.23829,0.11167,0.13601,0.14294,0.41918,0.45454
ITSA4,0.83545,0.85347,0.7207,0.70219,0.11581,0.11394,0.49566,0.06036,0.49117,0.76284,0.1475,1.0,0.55507,0.84528,0.88033,0.73401,0.63916,0.58473
AXIA3,0.54121,0.49367,0.63812,0.60493,0.28547,0.15695,0.50383,0.07875,0.1983,0.61274,0.23829,0.55507,1.0,0.50492,0.51399,0.38069,0.62808,0.61716
VIVT3,0.83342,0.79267,0.70366,0.66588,0.08609,0.11419,0.45642,0.08365,0.48835,0.73014,0.11167,0.84528,0.50492,1.0,0.84776,0.71683,0.58656,0.52892
WEGE3,0.82527,0.80813,0.71329,0.71289,0.12403,0.08859,0.49389,0.04025,0.48646,0.73755,0.13601,0.88033,0.51399,0.84776,1.0,0.71876,0.6123,0.557
POMO4,0.71917,0.68273,0.60964,0.61562,0.08933,-0.06386,0.41001,0.00203,0.47213,0.63109,0.14294,0.73401,0.38069,0.71683,0.71876,1.0,0.54898,0.49598
PETR4,0.60143,0.54699,0.76349,0.77716,0.36044,-0.04134,0.68786,-0.0191,0.30748,0.70356,0.41918,0.63916,0.62808,0.58656,0.6123,0.54898,1.0,0.9186
PETR3,0.54534,0.49004,0.70829,0.72862,0.34623,-0.07275,0.67064,-0.06346,0.28743,0.64777,0.45454,0.58473,0.61716,0.52892,0.557,0.49598,0.9186,1.0
