,SBSP3,BBDC3,BRAP4,VALE3,GGBR4,ISAE4,CSNA3,CMIG4,EMBJ3,CPLE3,USIM5,ITSA4,AXIA3,VIVT3,WEGE3,POMO4,PETR4,PETR3
SBSP3,1.0,0.76647,0.85348,0.82859,-0.24622,-0.33161,0.32074,-0.34434,0.87745,0.97465,-0.06156,0.96017,0.88685,0.96746,0.88149,0.91367,0.9283,0.91039
BBDC3,0.76647,1.0,0.74018,0.78819,-0.4352,-0.51675,0.52628,-0.53838,0.5581,0.71686,0.06653,0.89165,0.77358,0.84861,0.73949,0.69175,0.61584,0.59296
BRAP4,0.85348,0.74018,1.0,0.97995,-0.26432,-0.34068,0.61212,-0.35485,0.63304,0.91613,0.12953,0.89134,0.92688,0.9035,0.94482,0.73914,0.85966,0.84753
VALE3,0.82859,0.78819,0.97995,1.0,-0.35167,-0.40502,0.71162,-0.42323,0.60898,0.88442,0.26056,0.89515,0.91679,0.89486,0.91896,0.7246,0.82704,0.81812
GGBR4,-0.24622,-0.4352,-0.26432,-0.35167,1.0,0.23303,-0.40549,0.28374,-0.20378,-0.22327,-0.44331,-0.34233,-0.25295,-0.33959,-0.243,-0.29913,-0.2539,-0.26475
ISAE4,-0.33161,-0.51675,-0.34068,-0.40502,0.23303,1.0,-0.41354,0.98085,-0.1993,-0.31047,-0.239,-0.4065,-0.29833,-0.38479,-0.32399,-0.38846,-0.29536,-0.29324
CSNA3,0.32074,0.52628,0.61212,0.71162,-0.40549,-0.41354,1.0,-0.43247,0.10301,0.4057,0.64544,0.46429,0.55791,0.4389,0.54877,0.29214,0.37948,0.38374
CMIG4,-0.34434,-0.53838,-0.35485,-0.42323,0.28374,0.98085,-0.43247,1.0,-0.21111,-0.32231,-0.25835,-0.42391,-0.31101,-0.40124,-0.33684,-0.4022,-0.30889,-0.30745
EMBJ3,0.87745,0.5581,0.63304,0.60898,-0.20378,-0.1993,0.10301,-0.21111,1.0,0.82723,-0.08664,0.79927,0.67152,0.81119,0.6843,0.84702,0.82404,0.81177
CPLE3,0.97465,0.71686,0.91613,0.88442,-0.22327,-0.31047,0.4057,-0.32231,0.82723,1.0,0.01574,0.94373,0.9243,0.95774,0.91717,0.86806,0.95294,0.93965
USIM5,-0.06156,0.06653,0.12953,0.26056,-0.44331,-0.239,0.64544,-0.25835,-0.08664,0.01574,1.0,0.03882,0.12743,-0.00113,0.01778,-0.03592,0.11054,0.15279
ITSA4,0.96017,0.89165,0.89134,0.89515,-0.34233,-0.4065,0.46429,-0.42391,0.79927,0.94373,0.03882,1.0,0.91763,0.97853,0.89762,0.86604,0.88387,0.86665
AXIA3,0.88685,0.77358,0.92688,0.91679,-0.25295,-0.29833,0.55791,-0.31101,0.67152,0.9243,0.12743,0.91763,1.0,0.90564,0.89568,0.71832,0.85446,0.84524
VIVT3,0.96746,0.84861,0.9035,0.89486,-0.33959,-0.38479,0.4389,-0.40124,0.81119,0.95774,-0.00113,0.97853,0.90564,1.0,0.91358,0.88697,0.88928,0.86813
WEGE3,0.88149,0.73949,0.94482,0.91896,-0.243,-0.32399,0.54877,-0.33684,0.6843,0.91717,0.01778,0.89762,0.89568,0.91358,1.0,0.79353,0.86177,0.84286
POMO4,0.91367,0.69175,0.73914,0.7246,-0.29913,-0.38846,0.29214,-0.4022,0.84702,0.86806,-0.03592,0.86604,0.71832,0.88697,0.79353,1.0,0.88905,0.86849
PETR4,0.9283,0.61584,0.85966,0.82704,-0.2539,-0.29536,0.37948,-0.30889,0.82404,0.95294,0.11054,0.88387,0.85446,0.88928,0.86177,0.88905,1.0,0.99739
PETR3,0.91039,0.59296,0.84753,0.81812,-0.26475,-0.29324,0.38374,-0.30745,0.81177,0.93965,0.15279,0.86665,0.84524,0.86813,0.84286,0.86849,0.99739,1.0
