,SBSP3,BBDC3,BRAP4,VALE3,GGBR4,ISAE4,CSNA3,CMIG4,EMBJ3,CPLE3,USIM5,ITSA4,AXIA3,VIVT3,WEGE3,POMO4,PETR4,PETR3
SBSP3,1.0,0.94896,0.89857,0.86199,0.15351,-0.15587,0.65715,-0.17515,0.60874,0.92773,0.17293,0.96322,0.6997,0.96216,0.96255,0.89634,0.7875,0.72541
BBDC3,0.94896,1.0,0.87019,0.84808,0.03711,-0.17365,0.63795,-0.20665,0.63867,0.87873,0.22657,0.96588,0.67632,0.9457,0.94811,0.85772,0.74539,0.67785
BRAP4,0.89857,0.87019,1.0,0.98462,0.25199,-0.17932,0.835,-0.18935,0.47126,0.93846,0.47384,0.89532,0.82615,0.88408,0.89141,0.8063,0.92328,0.88682
VALE3,0.86199,0.84808,0.98462,1.0,0.24892,-0.19659,0.86112,-0.201,0.4564,0.91979,0.52127,0.87882,0.80822,0.85995,0.88056,0.79097,0.93589,0.90189
GGBR4,0.15351,0.03711,0.25199,0.24892,1.0,0.22612,0.20303,0.26432,-0.12565,0.2755,-0.02174,0.07338,0.35358,0.06293,0.08301,0.03201,0.27702,0.26833
ISAE4,-0.15587,-0.17365,-0.17932,-0.19659,0.22612,1.0,-0.33761,0.92226,-0.11282,-0.1604,-0.51202,-0.13633,0.09042,-0.10834,-0.15194,-0.26855,-0.23469,-0.24577
CSNA3,0.65715,0.63795,0.835,0.86112,0.20303,-0.33761,1.0,-0.35319,0.21302,0.7715,0.70626,0.67745,0.73114,0.62951,0.67316,0.57758,0.87645,0.8653
CMIG4,-0.17515,-0.20665,-0.18935,-0.201,0.26432,0.92226,-0.35319,1.0,-0.09019,-0.175,-0.46379,-0.17049,-0.0127,-0.1193,-0.18331,-0.20138,-0.21281,-0.23906
EMBJ3,0.60874,0.63867,0.47126,0.4564,-0.12565,-0.11282,0.21302,-0.09019,1.0,0.48403,0.02123,0.66879,0.27948,0.66556,0.65435,0.65482,0.42615,0.40044
CPLE3,0.92773,0.87873,0.93846,0.91979,0.2755,-0.1604,0.7715,-0.175,0.48403,1.0,0.30773,0.92361,0.78524,0.89423,0.90774,0.82642,0.87318,0.82644
USIM5,0.17293,0.22657,0.47384,0.52127,-0.02174,-0.51202,0.70626,-0.46379,0.02123,0.30773,1.0,0.21499,0.3709,0.19065,0.20405,0.22696,0.58464,0.61888
ITSA4,0.96322,0.96588,0.89532,0.87882,0.07338,-0.13633,0.67745,-0.17049,0.66879,0.92361,0.21499,1.0,0.71682,0.96643,0.98013,0.88248,0.80214,0.7459
AXIA3,0.6997,0.67632,0.82615,0.80822,0.35358,0.09042,0.73114,-0.0127,0.27948,0.78524,0.3709,0.71682,1.0,0.67866,0.68575,0.48835,0.82193,0.82547
VIVT3,0.96216,0.9457,0.88408,0.85995,0.06293,-0.10834,0.62951,-0.1193,0.66556,0.89423,0.19065,0.96643,0.67866,1.0,0.97129,0.89089,0.76722,0.70576
WEGE3,0.96255,0.94811,0.89141,0.88056,0.08301,-0.15194,0.67316,-0.18331,0.65435,0.90774,0.20405,0.98013,0.68575,0.97129,1.0,0.87625,0.79027,0.73076
POMO4,0.89634,0.85772,0.8063,0.79097,0.03201,-0.26855,0.57758,-0.20138,0.65482,0.82642,0.22696,0.88248,0.48835,0.89089,0.87625,1.0,0.73025,0.66945
PETR4,0.7875,0.74539,0.92328,0.93589,0.27702,-0.23469,0.87645,-0.21281,0.42615,0.87318,0.58464,0.80214,0.82193,0.76722,0.79027,0.73025,1.0,0.98868
PETR3,0.72541,0.67785,0.88682,0.90189,0.26833,-0.24577,0.8653,-0.23906,0.40044,0.82644,0.61888,0.7459,0.82547,0.70576,0.73076,0.66945,0.98868,1.0
